date,series1,series1a,series1b,series1c,series2,series2a,series2b,series2c,series3,series3a,series3b,series3c
Jun-08,184,27,12,5,96,29,12,6,88,39,17,8
Dec-08,198,28,12,6,134,32,14,6,63,43,18,9
Jun-09,183,27,12,5,121,21,9,4,62,34,15,7
Dec-09,167,19,8,4,109,16,7,3,58,25,11,5
Mar-10,172,19,8,4,115,18,8,4,58,26,11,5
Jun-10,176,20,9,4,104,16,7,3,72,26,11,5
Sep-10,182,22,9,4,101,16,7,3,81,27,12,5
Dec-10,176,21,9,4,99,14,6,3,77,25,11,5
Mar-11,169,20,9,4,92,13,6,3,77,24,10,5
Jun-11,175,20,9,4,95,13,6,3,79,24,10,5
Sep-11,166,18,8,4,91,13,6,3,75,22,9,4
Dec-11,174,18,8,4,92,14,6,3,82,23,10,5
Mar-12,166,18,8,4,90,14,6,3,76,23,10,5
Jun-12,158,16,7,3,86,13,6,3,72,21,9,4
Sep-12,149,16,7,3,84,13,6,3,65,21,9,4
Dec-12,158,18,8,4,75,11,5,2,82,21,9,4
Mar-13,170,18,8,4,75,12,5,2,95,22,9,4
Jun-13,183,21,9,4,77,12,5,2,106,24,10,5
Sep-13,208,21,9,4,78,13,6,3,130,25,11,5
Dec-13,201,20,9,4,78,12,5,2,123,24,10,5
Mar-14,213,22,9,4,83,14,6,3,130,26,11,5
Jun-14,223,22,9,4,85,15,6,3,138,27,12,5
Sep-14,246,24,10,5,87,15,6,3,158,28,12,6
Dec-14,264,25,11,5,89,15,6,3,174,29,12,6
Mar-15,270,25,11,5,86,13,6,3,184,28,12,6
Jun-15,265,24,10,5,85,12,5,2,180,27,12,5
Sep-15,256,22,9,4,85,12,5,2,171,26,11,5
Dec-15,269,24,10,5,86,13,6,3,184,27,12,5
Mar-16,267,24,10,5,89,13,6,3,178,28,12,6
Jun-16,284,26,11,5,95,14,6,3,189,30,13,6
Sep-16,267,26,11,5,102,15,6,3,165,30,13,6
Dec-16,249,24,10,5,116,16,7,3,133,29,12,6
Mar-17,245,23,10,5,121,16,7,3,123,28,12,6
Jun-17,226,23,10,5,123,16,7,3,103,29,12,6
Sep-17,248,27,12,5,142,19,8,4,106,33,14,7
Dec-17,243,28,12,6,144,20,9,4,99,34,15,7
Mar-18,229,28,12,6,143,20,9,4,86,34,15,7
Jun-18,219,27,12,5,145,22,9,4,74,34,15,7
